SAE.BARO,Barometric Pressure,0133,1,51,0,General,Generic,SAE,2,psi,kPa,0,37,0,255,1,0,0,0
SAE.O2B1S1B_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 1 Sensor 1),0134,1,52,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B1S2B_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 1 Sensor 2),0135,1,53,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B1S3B_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 1 Sensor 3),0136,1,54,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B1S4B_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 1 Sensor 4),0137,1,55,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B2S1B_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 2 Sensor 1),0138,1,56,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B2S2B_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 2 Sensor 2),0139,1,57,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B2S3B_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 2 Sensor 3),013A,1,58,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B2S4B_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 2 Sensor 4),013B,1,59,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B1S1_CURRENT,Wideband Oxygen Sensor Current (Bank 1 Sensor 1),0134,1,52,1,O2,Generic,SAE,1,mA,mA,-128,128,-128,128,1,0,0,0
SAE.O2B1S2_CURRENT,Wideband Oxygen Sensor Current (Bank 1 Sensor 2),0135,1,53,1,O2,Generic,SAE,1,mA,mA,-128,128,-128,128,1,0,0,0
SAE.O2B1S3_CURRENT,Wideband Oxygen Sensor Current (Bank 1 Sensor 3),0136,1,54,1,O2,Generic,SAE,1,mA,mA,-128,128,-128,128,1,0,0,0
SAE.O2B1S4_CURRENT,Wideband Oxygen Sensor Current (Bank 1 Sensor 4),0137,1,55,1,O2,Generic,SAE,1,mA,mA,-128,128,-128,128,1,0,0,0
SAE.O2B2S1_CURRENT,Wideband Oxygen Sensor Current (Bank 2 Sensor 1),0138,1,56,1,O2,Generic,SAE,1,mA,mA,-128,128,-128,128,1,0,0,0
SAE.O2B2S2_CURRENT,Wideband Oxygen Sensor Current (Bank 2 Sensor 2),0139,1,57,1,O2,Generic,SAE,1,mA,mA,-128,128,-128,128,1,0,0,0
SAE.O2B2S3_CURRENT,Wideband Oxygen Sensor Current (Bank 2 Sensor 3),013A,1,58,1,O2,Generic,SAE,1,mA,mA,-128,128,-128,128,1,0,0,0
SAE.O2B2S4_CURRENT,Wideband Oxygen Sensor Current (Bank 2 Sensor 4),013B,1,59,1,O2,Generic,SAE,1,mA,mA,-128,128,-128,128,1,0,0,0
SAE.CATB1S1_TEMP,Catalyst Temperature (Bank 1 Sensor 1),013C,1,60,0,Temperature,Generic,SAE,2,F,C,-40,11756.3,-40,6513.5,1,0,0,0
SAE.CATB1S2_TEMP,Catalyst Temperature (Bank 1 Sensor 2),013D,1,61,0,Temperature,Generic,SAE,2,F,C,-40,11756.3,-40,6513.5,1,0,0,0
SAE.CATB2S1_TEMP,Catalyst Temperature (Bank 2 Sensor 1),013E,1,62,0,Temperature,Generic,SAE,2,F,C,-40,11756.3,-40,6513.5,1,0,0,0
SAE.CATB2S2_TEMP,Catalyst Temperature (Bank 2 Sensor 2),013F,1,63,0,Temperature,Generic,SAE,2,F,C,-40,11756.3,-40,6513.5,1,0,0,0
SAE.MISFIRE_ENABLED,Misfire Monitoring Enabled (This Drive Cycle),0141,1,65,0,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
SAE.FUEL_ENABLED,Fuel System Monitoring Enabled (This Drive Cycle),0141,1,65,1,Emissions,Generic,SAE,3,,,,,,,1,1,1,0
